Events,,,,,,,,,,,,,,Players
15mins 1st half Whitehall Colmcilles own puck/kick out lost    Posn: 2:57,,,,,,,,,,,,,,
15mins 1st half Whitehall Colmcilles turnover won ,,,,,,,,,,,,,,
16mins 1st half Round Towers Minor Footballers  yellow card Craig Reilly,,,,,,,,,,,,,,
16mins 1st half Whitehall Colmcilles goal    Posn: 46:8,,,,,,,,,,,,,,
16mins 1st half Round Towers Minor Footballers own puck/kick out won  Craig Moore  Posn: 86:15,,,,,,,,,,,,,,
16mins 1st half Whitehall Colmcilles free/pen conceded    Posn: 93:47,,,,,,,,,,,,,,
17mins 1st half Whitehall Colmcilles turnover won ,,,,,,,,,,,,,,
17mins 1st half Round Towers Minor Footballers free/pen conceded    Posn: 10:71,,,,,,,,,,,,,,
17mins 1st half Whitehall Colmcilles goal    Posn: 40:7,,,,,,,,,,,,,,
18mins 1st half Round Towers Minor Footballers own puck/kick out lost    Posn: 94:28,,,,,,,,,,,,,,
18mins 1st half Whitehall Colmcilles short    Posn: 41:18,,,,,,,,,,,,,,
18mins 1st half Whitehall Colmcilles free/pen conceded    Posn: 45:10,,,,,,,,,,,,,,
18mins 1st half Whitehall Colmcilles turnover won  8,,,,,,,,,,,,,,
18mins 1st half Whitehall Colmcilles wide from play   Posn: 39:18,,,,,,,,,,,,,,
19mins 1st half Round Towers Minor Footballers own puck/kick out won  Liam Redmond  Posn: 90:25,,,,,,,,,,,,,,
19mins 1st half Round Towers Minor Footballers point from play Ben Casey  Posn: 35:15,,,,,,,,,,,,,,
20mins 1st half Whitehall Colmcilles own puck/kick out won  12  Posn: 58:52,,,,,,,,,,,,,,
20mins 1st half Round Towers Minor Footballers turnover won  Dean Farrell,,,,,,,,,,,,,,
20mins 1st half Whitehall Colmcilles free/pen conceded    Posn: 40:57,,,,,,,,,,,,,,
20mins 1st half Round Towers Minor Footballers saved from play Liam Redmond  Posn: 35:69,,,,,,,,,,,,,,
20mins 1st half Whitehall Colmcilles turnover won ,,,,,,,,,,,,,,
20mins 1st half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
21mins 1st half Round Towers Minor Footballers point  Harry Leech  Posn: 68:73,,,,,,,,,,,,,,
22mins 1st half Whitehall Colmcilles own puck/kick out lost    Posn: 95:75,,,,,,,,,,,,,,
22mins 1st half Whitehall Colmcilles free/pen conceded ,,,,,,,,,,,,,,
22mins 1st half Round Towers Minor Footballers short from free Harry Leech  Posn: 18:17,,,,,,,,,,,,,,
22mins 1st half Whitehall Colmcilles turnover won ,,,,,,,,,,,,,,
23mins 1st half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
23mins 1st half Whitehall Colmcilles turnover won  4,,,,,,,,,,,,,,
23mins 1st half Whitehall Colmcilles goal  14  Posn: 43:5,,,,,,,,,,,,,,
24mins 1st half Round Towers Minor Footballers own puck/kick out won  Cathal Downey  Posn: 84:20,,,,,,,,,,,,,,
24mins 1st half Whitehall Colmcilles turnover won  8,,,,,,,,,,,,,,
25mins 1st half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
25mins 1st half Whitehall Colmcilles turnover won    Posn: 25:1,,,,,,,,,,,,,,
25mins 1st half Round Towers Minor Footballers free/pen conceded  Mark Maguire  Posn: 27:1,,,,,,,,,,,,,,
26mins 1st half Whitehall Colmcilles wide from play   Posn: 28:21,,,,,,,,,,,,,,
26mins 1st half Round Towers Minor Footballers own puck/kick out lost    Posn: 2:22,,,,,,,,,,,,,,
27mins 1st half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
27mins 1st half Whitehall Colmcilles free/pen conceded ,,,,,,,,,,,,,,
29mins 1st half Round Towers Minor Footballers wide from play Craig Moore  Posn: 33:72,,,,,,,,,,,,,,
29mins 1st half Whitehall Colmcilles own puck/kick out lost    Posn: 7:59,,,,,,,,,,,,,,
29mins 1st half Whitehall Colmcilles free/pen conceded    Posn: 6:71,,,,,,,,,,,,,,
30mins 1st half Round Towers Minor Footballers short from free Ciar?n Kirk  Posn: 9:66,,,,,,,,,,,,,,
30mins 1st half Whitehall Colmcilles turnover won ,,,,,,,,,,,,,,
